text,category
taliva we r waiting..s3 da ..,Mixed_feelings
1:23 ku yaarellam gubeer nu sirichinga,unknown_state
Vera level dhanush anna GV bgm,Positive
when i am seeing vikram here its like john wick,Positive
Today trailer paaka yaarellam wait panreenga,unknown_state
mayiru maadiri iruku thevidiya pasagala Rajinikath vaithu vilambaram theduriga,Negative
"Saguni padam madhiri theriudhu,soori irukkuradha pardha romba bayama irukkudhu",Mixed_feelings
Ada paavingala mangatha theme. Aaa. Slow. Motion la potrukinga.. 🤬🤬,Negative
Kangana look like same I just love this first look,Positive
wowwwwwwwwww thalaya aaaaaa masssssssss dialogue waiting for thala rage,Positive
3 supar dupar star akshaya rajnikant and any jackson wow amazing,Positive
Coffee solunga marana masss thala,Positive
598K left for 15M views,unknown_state
1.56 yaru Instagram lae paathathu leak aanathu,Negative
Koiyala enna style Da thalaivar....pinara Thalaiva..,Positive
Suriya anna kola waiting Thalaiva Kerala Singakotta Therikkapoguthu,Positive
Kiruku thanamana oru trailer...idhunala yaruku enna use,Mixed_feelings
NGK ku Marana waiting yapo varum,Positive
Devendhira da....Suma va yaru history ithu devadhiran...la,Positive
"என்னப்பா தமிழ் டீசர்ல ஒரு வரி கூட தமிழில் இல்ல.lyric வீடியோ தான் அப்படி போடுறீங்க.இப்ப டீசருமா,உங்க போக்கே பிடிக்கலப்பா.",Negative
"My dear 47k dislikers RIP,  verithanam varatum  anga papom.",Positive
Cmnt section pona like here like here nu uyira vanguvanungalehh🤔🤥,Positive
Mrana Mass iliya suppr star DHANUSH,Positive
vera level... pakka blockbuster for sure... :) all d best anna (y),Positive
வன்னியர் சாதி சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்....,Positive
Yuvan bgm vera level i love u yuvan anna,Positive
Rishi Richard Fans Club சார்பாக படம் வெற்றியடைய வாழ்த்துகள்,Positive
ஜெயம் ரவி அண்ணா வாழ்த்துக்கள் நீங்க இதே மாதிரி நிறைய புதுசு புதுசா முயற்சி பண்ணுங்க அண்ணா ஐ லைக் யு அண்ணா,Positive
படம் வெற்றிகரமாக அமைய வாழ்த்துக்கள் செளராஷ்டிரா சமூகம் சார்பாக,Positive
what is this rubbish?. Ayoooo ayo,Negative
🥇🥇🥇தரமா டீஸர் அதேபோல் படமும் தரமாக இருக்கும்,Positive
Maximum intha mathiri msg kudukara reality Film yarum hit panna matanga ipo apdtha poitu iruku.but intha story kandipa success agum I love always samuthrakani sir film,Positive
100k likes in 30 mins Thala phoenix,unknown_state
Intha kelattu naaya inthamari pathu rombha naalachu. Nalaarkuda trailer.,Mixed_feelings
"spidermna, batman,heman etcman Make way t Spark",Negative
Dai yaru da editor ivalo mosama iruku trailer cut,Negative
wow wow wow wow wow Vijay Anna superrrrrrrr,Positive
"Ena elarum comment panumbothu Indha caste saarbaga valthukkal, indha caste saarbaga valthukal nu potutu irukinga? First naama elorum Tamilargal. Indha jaathi than elarayum ivlo naala pirichi vechirukku...even comment la paarunga...rendu perumae tamilan than...ana epadi thitikiraanunga. Indha vishayathil periyaar sonadhu sariyae...jaathi olizhya vendum...ovvoru manidhanukkum ovvuru vidhamana thiramai irukum...adha paathu mathavanga peruma padanum...poramai illai. Naam tamilar enbahil perumai kolvom",Mixed_feelings
Maratha samukutha Sarbaka Padam Vetri Pera Vaazthukal,Positive
Ithula aarambathula Raana sethuruvar vivegathula Vivek obray villain,Mixed_feelings
Suriya Anna masssssssssssssssssssssssssssssssssssssssssssssssssssss Tha  I love suriya,Positive
இந்த  படத்துக்கு  எவ்வளவு  ஆதரவுனு  இங்க  கமெண்ட்ட  படிக்கும்போதே  புள்ளரிக்குது.  படக்குழுவினருக்கு  படம்  மிகப்பெரிய  வெற்றியடைய  வாழ்த்துக்கள்.,Positive
பார்ப்பனன் முன்னாடி நீயும் சூத்திரன் அப்படினா தெவிடியப்பையன் அடா பரம்பரை ஒன்னல எதிர்க்க முடியல அனா நாகா எதிர்க்குறோம் உனக்கும் செத்து,Mixed_feelings
thalla yepauveme masss thn.    ippa sla la va   venum,Mixed_feelings
Marana mass na adhu naanga thanda AK Brothers,Positive
உழுது பூமியில ரத்தம் சிந்தி அரிசி அனுப்புற ஒவ்வொரு ஜீவனுக்கும் இ‌ந்த நாடு நல்லா இருக்குனு உழைக்கிற ஒவ்வொரு தொழிலாளிக்கு‌ம் எல்லாத்தையும் தட்டி கேட்கிற உரிமை இருக்கு வசனம் அனல் பறக்குது,Positive
கொங்கு வேளாளர் கவுண்டர் சமுதாயத்தின் சார்பாக மனமார்ந்த வாழ்த்துக்கள்,Positive
Romba naal achi suriya anna padam pathu kandipa sema enjoyment ah irukka pothu,Positive
Teaser ku munnadi varra antha DMK ad thanga mudiyala,Negative
I think kalakalappu 3 ha ha ha ha,Positive
Super .... The BGM is Vera level pakka masss,Positive
Love you vijay.... From MAHESH AND VIJAY FANS,Positive
Dei pattinila kidantha uyir vaazha ethu kidaichalum thinnuthan aaganum.yaara irunthaalum..ellarum avanga avanga oru safest place okkanthuttu enna venalum pesalaam....platform la yaarum illatha anathaiya oru velai sothukku vali illama okkanthu irukum podhuthan manushan manushana manushana pakka aarambippaan...iyargai ellathukkume oru aappu vachu vidum..appo kai koduka evan etha kodunthaalum vaankipinga..ippo vote ku kaasu vaangura maari..,Mixed_feelings
"Puranaanuru :dhudiyan, paanan, paariyan, kadampan ethu varalaru.tamil jathi eillatha pera jathigalin suilchiyal Mella eruntha 108 paariyar jathi koithukal vilthapaidathu ethu puriyatha Tamil ennathin pera jathikal paariyar enaithai thavaraga purinthukondu peasuvathu manatheirku vali tharukerathu. Annithu jathikalilum nallavargalu thiyavarkalum erukindranar. Suilchi seikke Ulla Tamil Enam Ethai purinthukollavendum eiilai enil tamilan ahlinthu poi veduvan. Tamilargali jathiyal maittum than viltha mudium ethai purinthugollungal nanbargale",Mixed_feelings
sathigalam kidaiyathu oru mannum kidaiyathu konjam pazhanthamizhar meri vaazhunkada thamizhanai iru thamizhukakau iru,unknown_state
I am Kannada Rajnikant movie trailer,Positive
Ena 10 la irunthu nagarave ila,Positive
Dai ithu velayutham Padam Da Yaara yeamaathringa ??,Positive
"Semma message @ 2:05..  ""ithu 96su.. Yaara emathuringa"".. Apa irunthu antha manithar rasigargalai ComaLi aakitu irukkar..",Positive
SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA SURIYA,unknown_state
Rajini fans comment. Neutral fans like.,unknown_state
OmG. Thalaaaaaaaa.     Awsm marana mass. Mariana  panch marana  love semma mass's  marana  waiting  @vivegam,Positive
Cha  na rajini nu naichan  yenna mari ethana Peru yemathiga,unknown_state
"என்ன ஒரு முரண்பாடான வசனம் . \""எது கிடைச்சலும் \""வேட்டை ஆடுற ஓநாய் அல்ல சிங்கம் இப்போ கொலை பசில இருக்கேன் .\""எது கிடைச்சலும்\"" வேட்டை ஆடுவேன் .இதுக்கு நீ ஓநாய் என்றே சொல்லி இருக்கலாமே .வசனம் எழுதின புண்ணியவான் யாரு.ஓநாய் தான் எது கிடைத்தாலும் வேட்டையாடும்",Mixed_feelings
Bgm vera level..... Thala .....pink already paathathu....tamil version kaga waiting.....,Positive
Sanda poddu saavanum  Saavalam saavalam jamaththa,Negative
ena da epadi eduthu vechurikinga . vera level vetrimaran sir Dhanush combo plz do more films,Positive
hyoo thala verithanama pidikithu able mass semmma unkala screenla Pakka kola waiting dialogues onnonnum sethukirukinga,Positive
சாதிகள் மேல் நம்பிக்கை இல்லாத தமிழனாக வாழ்த்துகிறேன்,Positive
Manushan epudi vanthalum tharama irukaru ya... THALAAA... This time CLASSY After a MASS VISWASAM....,Positive
Romba Romba ketta payan sir intha Kalli,Positive
Ena pa.. Sollama kollama... Posukunu release pannittinga...,Mixed_feelings
"Apocalypto maari tribes pathi padam pola, such a barbarian mindset.",Positive
"ஒட்டுமொத்த தருமபுரி வன்னியர் சமூகத்தின் சார்பாக படம், மாபெரும் வெற்றி அடைய வாழ்த்துக்கள்",Positive
Tetamu Yang Tidak Diundang Dalam Rakaman Video Di Kedai Makan Menjadi Bualan Orang Ramai,unknown_state
Yaru ya ivaru vayasa agadha age stops for rajnikanth,Positive
3rd block buster Suriya anna +kv anna +Harris anna,Positive
2K left for 500K likes,unknown_state
i am waiting vijay bro super,Positive
ஊராளி கவுண்டர் சார்பாக படம் மாபெரும் வெற்றி பெற வாழ்த்துக்கள்....,Positive
"சூரியனை torch அடித்து கேலி செய்யும் மூடர்களே அவர் எதிர்வினை கட்டினால் உங்க சாம்பல் கூட மீறாது.தலைவர்  உயரம்,பண்பு,சாதனைகள்,உழைப்பு,நேர்மை இதில் எதாவது உங்களிடம் இருக்க கோமாளிகளே",unknown_state
Thalaaaaaaaa Masssssss & End Of Dialogue  Awesome,Positive
Dis like pottha potta pasangala nigala nallave irukka mathynga by thalabathi veriyan,Negative
"இன்றைய சூழலில் பெண் பிள்ளைகளை பெற்றவர்களோ கூடப்பிறந்தவனோ அழைத்து சென்று பார்க்க வேண்டிய திரைப்படம். ஆம், பெண்பிள்ளைகள் மனதில் பதியவேண்டிய கருத்துகளை சுமந்து வரும் படமாக இருக்கம் என பெரிதும் எதிர்பார்க்கின்றேன். இது ஏதோ சாதி வெறியில் அனைவரும் பேசுவது போல இருக்கும். ஆனால் உண்மை அதுவல்ல. சுமார் 20-22 ஆண்டு காலம் கூடவே வளர்ந்தவள் கண்ணுக்கு நேராக வழி தவறி போய் சின்னாப்பின்னமாகி போவதும் அதனால் சிதையும் குடும்பங்களும் அவளின் உறவுகளின் நிலையை திரையில் காணும்போதே அடிவயிறு கலங்குகிறதே, அந்த வலிதான் இந்த படத்தின் மாபெரும் வெற்றியாக இருக்கும். நிச்சயம் தமிழக ஊடகம் இந்த படத்தினை இருட்டிப்பு செய்யவே பார்க்கும்.  ஆனால் அதையும் மீறி மாபெரும் வெற்றிப்பெற வாழ்த்துகள்...",Positive
இந்திய சினிமா வரலாற்றில் வட தமிழக வேட்டை ஆரம்பம்....!  தமிழ் சினிமாவில ரஞ்சித்தை விதை எடுக்க சரியான ஆள் மோகன் ஜி அவர்கள்..!  தென்மாவட்ட கதைகளத்தை திரை வரலாற்றில் சொன்னதைவிட வெட்ட வெளிச்சமாக துணிச்சலாக வட மாவட்ட பிரச்சனைக்கு முற்றுப்புள்ளி வைக்கும் முதல் படமாக திரௌபதி...!  இவ்விதம் இனி தொடரும்...!!!,Mixed_feelings
Ean selaula all frands kuptu povanga...,Positive
Matha actor la Vera level na Niii top level Thalaivaaa,Positive
யுவன் பேன்ஸ் எல்லாம் லைக்க அடிச்சு படுக்க போடுங்கயா...,unknown_state
Thala Thala Thala Vera yethum theva illa,Positive
Selva Raghavan Fans Hit like here,unknown_state
திரைக்கதையிலொரு கவிதை சொல்ல முயல்கிறார்கள். நான்கு பருவங்களால் நெய்யப்படுகிற காதல் நாற்கரம்!  வரட்டும் பார்ப்போம்   வாழ்த்துகள் சில்லு கருப்பட்டி குழு!,Positive
Entha ad um ilama ivarala mattum epdi ipdinu.... Ellarum vaitherichala kathAruranga,Positive
Yemmadi!! Allu thalludhuda paavi.. enna verithanam....,Positive
"Makkale, Enga channel ah konjam subcribe pannunga plzz... (Aai Pasanga)",unknown_state
Neenka padam edukureanka ok athukunu antha kekka bekka short film ah thookiteenkaley da,Positive
கொங்கு வேளாள கவுண்டர்கள் சார்பாக படம் மாபெரும் வெற்றி பெற வாழ்த்துக்கள் - கொங்கு மண்டலம்,unknown_state
End scene is epic.. Namba PM eh bangama kalaikra ooru ithula Rajini eh kalaika kudatha.. Athu unma thaneh. Ithuku en ponguranganu nu therila,Positive
No comment vere level solle varthe ile namabe talaivar style 🤟,Positive
கமாண்ட எல்லாம் படிக்க படிக்க வேற லெவால இருக்கு மேகன் அண்ணா . படம் மாபெரும் வெற்றியடைய வாழ்த்துகள். இவன் :- மயிலாடுதுறை வன்னியர் சங்கம் &பாட்டாளி மக்கள் கட்சி & சமூகநீதி முன்னேற்ற சங்கம் .,Positive
"Suppar.  Aiya I am sri Lankan fan niroshan,",Positive
0:51 Arya And Syesha Marriage again,unknown_state
8.4m views 9 more likes to reach 115 k likes,Positive
Ajith ku set agala.. No mass scene,Positive
iam big big fan of vijay sir iam from telangana,Positive
வன்னியர் கவுண்டர் தேவேந்திரகுல வெள்ளாளர் கொங்கு வெள்ளாளர் செட்டியார் இவர்கள் அனைவரும் எதிர்பார்ப்புடன் இருக்கிறார்கள் மிக்க நன்றி மோகன் அண்ணா,Positive
End kaalai @rajini semma...... Jeyam ravi veera level.....,Positive
"ரஜினிய கிண்டல் பண்றங்கிலா Wait & Watch, He doing something to people",unknown_state
டிஸ்லைக்கு போட்டவனெல்லாம் தண்ணிய குடிச்சிக்கோ....இல்லைனா பயர்எஞ்சின கூப்பிட்டுக்கோ....,Negative
Aiyoo vera leval  thalaaa mass.,Positive
Daii Viswasam Update Vidungada Plzz,Positive
இது போன்ற திரைப்படம்  இன்னும் நிறையா வர வேண்டும்,Positive
from 1:10...rahman and shankar sir mark..,Positive
Oru padam Kamal Mari Oru rajini Mari  thala,Positive
Ithu Maari Neraiya Neriya Neriya Padam Nadinga Thala,Positive
வாழ்த்துக்கள் மோகன் அண்ணா தரமான சம்பவம் இருக்கு  🤝,Positive
Anyone after ngk    teaser,Mixed_feelings
itha padam odathu shriti hassan nadicha padam ethuku oduchu,Mixed_feelings
தல போல வராது.... Waiting viswasam trailer,Mixed_feelings
1:36  BGM  .... maas,Positive
Yarupa neenga ellam? Neerla pakanum pola eruku!,unknown_state
Rajinikanth vera level wating to watching,Positive
The king MANIRATNAM .... Palaya record ah eduthupaaruda....,unknown_state
Enna alagu thalaiver mass super  star rajini,Positive
hit or flop Rajini sir always rockzzzzzzzzzzzzzzzzzzzzz. I like him very much. I don't know why,Mixed_feelings
"உன்கூட இருக்குர சந்தோஷத்தவிட நீ தான் என் சந்தோஷமா இருக்க எப்போதும் நீ  மட்டும் தான் காதல் மன்னன், தல டா",Positive
0:28 Shaktimaan Parle-G Biscuit SaptuNaanum sinna vayasula jump panni parakka  try pannirukken 90's Pasanga Da 🤣,Positive
Semma semma semma  Vaazhthukkal Dhanush from #ThalapathyFan,Positive
Vera level rajini is the mass,Positive
Anbumani apadiya rombha nalava.... mudhal jathi veri naiya ah avadha...da porike...anubamani vaichu movie edutha ida vuda kavalam ah edukalam..,Negative
1:43 Enna da WWE ROman reigns la varan.,unknown_state
kongu vellalar sarbaga valthukal.padam patti thotti varai pesavendum,Positive
Who Is Biggest Fan Of Rajini Hit Like,Negative
43 + லட்சம் பேர் பார்வைகளை கடந்தால் திரெளபதி நன்றி மக்களே . நிச்சயம் மிரட்டுவாள்  திரெளபதி,Positive
Thalivaa eppadi ippadi masss kammika mudiyuthu,Positive
"again arun kamaraj did good job, for theme song",Positive
Diwly ku release  pannuna bigil  avvlothan,Positive
Anyone Here After Watching kaappaan  Just go and Give like,unknown_state
My support for this movie by kongu vellala goundersss (Namakkal ),Positive
"All records broken  #VivegamTrailer   10K Likes - 40Secs 25K - 5Mins 50K - 8m 100K - 30m 120K - 45m 150K - 190m 200K - 7h,5m 225K - 7h,",Mixed_feelings
எந்த ஒரு மிகப்பெரிய விஷயமா இருந்தாலும் அதோட ஆணிவேர்ல இருந்து ஆரம்பிக்கறதுதான் அழகு!!  Here is the KOLA mass Trailer  Kumaran   #NGKTrailer,unknown_state
NGK Surya Annan  Vere Level  yuvan... Selvaraghavan,Positive
1:53 Ant-Man ah pottu Hope pottu polakra adhe smack,Mixed_feelings
Ungaluku naatu mela paithiyam na ennaku unga mela paithiyam,Positive
தென்காசி சுத்துவட்டார நாடார் சார்பாக படம் மாபெரும் வெற்றி பெற வாழ்த்துக்கள் லே..,Positive
Vera level Anil fans dislike pannthu  ana Athku terila idhu semma hit aga pora padam nu,unknown_state
2.04 meme creators Ku semma template. Un varthaila nambikayae Vara maatingudhu.. Yen ya??  Semma....BGM theri....,Positive
1:34 Enna paarva da idhu goosebumps guaranteed,Positive
திண்டுக்கல் இளைஞரணி சார்பில் #திரௌபதி படம் மாபெரும் வெற்றி பெற வாழ்த்துக்கள்...,Positive
"Dai,,,,எப்பவும் கீழ் சாதி கீழ் சாதி தான்டா அத இப்படி எல்லாம் காட்டனுமா by கவுண்ட!",Negative
"What ah dialouge delivery thalaivaaaaa  Semma stunt...! ""Ne enna periya vasul manan ah Therla apdithan pesikiranga""",Positive
Arun Vijay and  aishwariyarajes super....manirathnam sir padam kandipa Romantic ku panjam irukathu...,Positive
Love you Thalaiva,Positive
Editing feel like old one Surya gd,Negative
Thalaiver padam vetri adaiya thalaiyin rasikarkalin vaalthukkal,Positive
Thalaiva you are great🤗🤗marana mass thalaivar,Positive
24 மனை தெலுங்கு செட்டியார் சார்ப்பகா வாழ்த்துகள்,Positive
Yena music idhu can anyone say,Positive
5 m Super 10 millon varathukku help pannunga pleas,Positive
Hey Makkalay yaaru Darbar Motion Poster announcementku apram vantheenga,unknown_state
2K idhu 2016  Idhu 1996 yaara yemathuringa ...  Naanga 90s kids .,Negative
Final touch thala mass ah soli irukapala  ketukonga da inimel aachum olunga irunga.... Ozm thrilling Trailer,Positive
43k haters enga da irundhu varinga,Negative
Thalaiva ne than gethu...  varum paar...,Positive
Eppa erukarah samugathuku edhu romba mukkiyamana padam dha beral level,Positive
Yenda ippadi comments la like picha kekkuringa,Negative
Thalaya jeika innoruthan poranthu varanum da ... verithanathin utchakattam da...,Mixed_feelings
Viswasam super movie next this movie thala fans like,Positive
Thalaivar nadicha movie la idhu vera level ah irukku,Positive
0:34 iru iru iru!!  Ada namma comali hacker payan pa aathu🤙🤙🤙,unknown_state
Ama la nanga para pulingo sna appdiay erukadum aothla angaluku avomanam eilla sariya ..aoduthavanuku ponu mala aosha paddathanu sla arla neenga kadvila eilla pariya myrupudingiya Konjam kasu konjam uonga kalla nakura uonga jathi Veri pudicha d.......... pashanga....lai oru k....uonglala seiya mudiyathula naingla,Mixed_feelings
Manushan epadi nadikuraru paruu...paaaa......i feel .... mangatha bgm.....,Positive
2.O is awesome trailer Vera leval,Positive
ஹா! ஹா! அடேய்களா... என்னங்கடா இது 2 நிமிச டீசரே 2 மணி நேரம் ஓடுர மாதிரி இருக்கு?!  டீசர பார்க்கும் போதே தெரியுது படத்தோட ஸ்கிரின்ப்ளே எப்படினு!,Positive
Trailer iku munadi yaru Ellam Treaser paikka vanthinka,Positive
Graphics sari illa nu solrathukune oru gang suthum parunga,Positive
"DRUVANACHATHIRAM Release aayo , arkenkilum ariyumoo??",Positive
Super sk Anna super tailar super hero,Positive
இன்றைய நடிபின் நாயகன் நாலைய  ௨ல௧ நாயகன் surya அன்பான  ரசிகர்கள்,Positive
so sad i don't like that full  flim,Negative
Sooon make it as 10M views...,unknown_state
Mannu ponnu rendum onnu:உங்க ஆத்தாவும் 10 செண்ட் பிலாட்டும் ஒன்னா டா கேனக் கூவைகளா?அஞ்சிபேர ஓத்த திரௌபதி குலதெய்வமாம்,Negative
Telugu hip hop lovers like plz,unknown_state
Dislike pottavan pathi Peru director ranjith veriyana erupan,unknown_state
Ak  thala marana mass super,Positive
Teasar pakkuradhuka bayangarama iruku I am waiting for you,Positive
எங்க அப்பா மிலிட்ரி டா ஓடி விளையாடவா சொல்லி தருவான்....  த்தா வேற லெவல்டா....,Positive
Ithukum 52k dislikes....ungaluku yentha maathri padam daa edukanum thotuttalaa iruku daa ungalukku,Mixed_feelings
13.7M views with 520K likes... 15M views and 550K likes varumnu soltravanga yellam like podunga,unknown_state
Vijay acting a pathu laugh pannara? Lol,Negative
Indha aala ennadhan veruthaalum On screenla paakka solla indha aalu style la  vilundarom,Mixed_feelings
NGK movie kandippa blockbuster aagum ... Selvaragavan sir hard work veen poogathu..  2 years surya kaga wait pannathu tappu eh illa .. Teaser vera level ...,Positive
July1 20M vivews varum 1M likes um senthu varum,Positive
Seekiram padam release pannunga bro 🥺 by santa fan,Positive
Jayankondam makkal saarpaga padam vetri adaya valthukirom  nanbargale,Positive
Thala un career oda peak la kooda mass movie vittu samoogan akkara padathukka nadikka unakkum Mattum tha thala dillu,Positive
I wonder Why dis video s not trending ???,Mixed_feelings
kailasa nattuku poganumnu nenaikuravaga like pannuga :) :) :),Mixed_feelings
Oruthar mela neenga viswasam kaatradhukkaga innorthara yen asinga paduthringa,Positive
சிவகங்கை யாதவர் சங்கம் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,Positive
Prabhu deva - like  Ragava lawrence - reply,unknown_state
idhu trailer ah? illa idhuthan trailer ah?,Mixed_feelings
நான் தலைவரோட ரசிகன்னு சொல்லிடு தலைவரை ஒடசல் போடுறது   பேசணகிடுச்சு. வாயில குந்தகூற வருது பட் எதும் சொல்ல கூடாது. நீங்க ஒரு move எடுக்க எவ்வளவு கஷ்ட்டப்பட்டு இருப்பிங்க. ஒரு படத்துக்கே உனக்கு வாய்ப்பு வர நாக்குதள்ளிருக்கும். எல்லாத்தையும் கடந்து வரதுக்கு லேட்தான். ஆக மொத்தத்துல சொல்லவரது என்னவென்ன நல்ல மனிதர்க்கு மரியாதை தரவும் தரலடியும் பரவலா அவர்களை விமர்சனம் பண்ணாதீர்கள்... நன்றி படித்ததுக்கு,Positive
Waste padam tharu maru flop aamai nakkis,Negative
Enada mugamoodi 2 va🤔🤔Ange naren inga Arjun....,Negative
"Sema courage, idhellam solla sema dhillu venum, Mohan anna  unmayilaye sathriyan nu kaatitinga",Positive
